round,client_id,loss,rmse,r2,model_type
1,6,49410.6953125,164.20244780140985,-2.898369576243868,client
1,8,66750.4921875,163.27304885639157,-1.712566827631665,client
1,4,77689.6640625,157.28305684720738,-1.1676994363911497,client
1,9,87803.09375,146.89993265309545,-0.056291505261383025,client
1,10,58395.62109375,127.22954436346046,0.23471587729368895,client
1,3,98182.5703125,151.0332479800379,-0.033834396183828,client
1,7,50485.40234375,166.69577476065837,-3.2214883275212216,client
1,2,41938.30078125,136.98843102433173,-0.21214679152040974,client
1,1,99161.8046875,137.93372215106422,0.1995633217607374,client
1,5,78987.171875,150.66724381799844,-0.45215677017826456,client
1,global,70880.481640625,150.22064502556555,-0.9320274431877363,global
2,7,14882.2822265625,56.476523784649686,0.5154245725489223,client
2,2,11389.5263671875,49.162442530912294,0.8438814952414807,client
2,9,25062.22265625,59.844325732040446,0.8246904624501159,client
2,8,24495.54296875,58.98638865995254,0.6459473552856164,client
2,10,14280.890625,46.15020049059494,0.8993101315465167,client
2,5,16881.1484375,55.60264450375474,0.8022209409109046,client
2,3,30286.7734375,58.14605435105732,0.8467657418361901,client
2,4,19120.119140625,56.95883701391885,0.7157081618392893,client
2,6,16598.0625,55.368920838247995,0.5567341660285011,client
2,1,27316.8046875,55.25881437794663,0.8715366506904241,client
2,global,20031.3373046875,55.19551522830754,0.752221967837796,global
3,8,18610.580078125,50.015198510047234,0.7454465706228741,client
3,9,15285.52734375,53.42216432638176,0.8602976910762123,client
3,4,10502.33203125,44.74268255461532,0.8245740797952092,client
3,3,14324.23046875,48.53404563834282,0.8932394206401035,client
3,5,9440.451171875,44.18524321981369,0.8751045278177408,client
3,7,7788.79541015625,39.26871345428946,0.7657204291554459,client
3,1,15048.380859375,50.136577786993634,0.8942489188483101,client
3,2,6702.72119140625,37.27063978765703,0.9102734001473234,client
3,6,9453.9365234375,42.762043305629945,0.7356010790625357,client
3,10,9035.84765625,42.911048274273675,0.9129486486877982,client
3,global,11619.2802734375,45.32483568580446,0.8417454765853554,global
