round,client_id,loss,rmse,r2,model_type
1,2,61358.2109375,172.63636366305042,-0.9250942588732123,client
1,10,65913.4921875,146.5203468779321,-0.014947536997884184,client
1,9,87047.6640625,178.0046527787878,-0.5509599609045922,client
1,7,83667.0859375,213.20055741371203,-5.905417083184197,client
1,6,92046.25,211.85031971371095,-5.489026701282701,client
1,4,80305.578125,201.89999506391217,-2.5719487548228135,client
1,3,95340.90625,186.29508628467238,-0.5729213775032677,client
1,5,71173.484375,178.82121664629167,-1.0455580903068868,client
1,8,90782.78125,209.86229247230506,-3.481437467964154,client
1,1,88817.984375,172.34367149554504,-0.24962087484225406,client
1,global,81645.34375,187.14345024099197,-2.080693210668197,global
2,5,14343.8642578125,48.15902212910917,0.8516270084962319,client
2,8,21412.544921875,49.44208729546155,0.751239913967091,client
2,3,20528.595703125,48.78953779874769,0.8921106221725587,client
2,9,20190.34765625,52.840201992492446,0.8633226249245349,client
2,10,13273.1435546875,41.59376037210133,0.9182118743124515,client
2,2,10204.181640625,37.645435378800954,0.9084597312101574,client
2,4,15235.0703125,45.21774367753706,0.8208244742294762,client
2,7,11475.9052734375,32.7914075859266,0.8366181259945226,client
2,1,20719.095703125,52.776535466746296,0.8828196103743022,client
2,6,13607.7744140625,38.23313203699978,0.7886322721710282,client
2,global,16099.05234375,44.74888637339229,0.8513866257852355,global
3,3,10176.734375,37.32049295514615,0.9368721984093956,client
3,2,4210.04248046875,25.42692573678683,0.9582385852247853,client
3,7,3925.1015625,24.140955400492576,0.9114533786065854,client
3,6,5414.9130859375,29.07686123419857,0.877750318189122,client
3,1,13014.685546875,42.459811943610035,0.9241553318896298,client
3,4,7186.11328125,28.72822644331587,0.927676329307392,client
3,10,6705.44140625,29.36108451505263,0.9592455611557297,client
3,9,12912.7392578125,44.29808160645871,0.9039395771399846,client
3,8,15694.4638671875,39.40314470088443,0.8420022431718038,client
3,5,7125.462890625,28.72709378788624,0.947204613033612,client
3,global,8636.569775390624,32.8942678323832,0.9188538136128042,global
